 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "3.0.2   R"
 Date_of_run_____________________________________________________________ (date)________________________     "07/03/2024"
 Time_of_run_____________________________________________________________ (time)________________________     "16:00"
 User____________________________________________________________________ (username)____________________     "jg6173"  
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "PAIV-STEP, HTS, SPR-045-14                                                                         
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     "v3.0.2-40-gb972ae0"                                                                                
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "main"                                                                                              
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Numba-ify physics functions"                                                                       
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/jg6173/easyVVUQ-process/cost/IN.DAT                                                                                                                                                                                                                                                                                                                                                                       "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             26    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             18    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      7.1027E-13 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      4.6800E-24 OP 
 Normalised_objective_function___________________________________________ (norm_objf)___________________      7.2000E-01 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________              7 OP 
 dene____________________________________________________________________ (itvar001)____________________      1.2276E+20    
 dene_(final_value/initial_value)________________________________________ (xcm001)______________________      1.2276E+00    
 dene_(range_normalised)_________________________________________________ (nitvar001)___________________      7.9903E-02    
 fdene___________________________________________________________________ (itvar002)____________________      8.6394E-01    
 fdene_(final_value/initial_value)_______________________________________ (xcm002)______________________      1.0046E+00    
 fdene_(range_normalised)________________________________________________ (nitvar002)___________________      8.4883E-01    
 ralpne__________________________________________________________________ (itvar003)____________________      6.3924E-02    
 ralpne_(final_value/initial_value)______________________________________ (xcm003)______________________      1.2785E+00    
 ralpne_(range_normalised)_______________________________________________ (nitvar003)___________________      6.2987E-02    
 te______________________________________________________________________ (itvar004)____________________      9.5609E+00    
 te_(final_value/initial_value)__________________________________________ (xcm004)______________________      1.0426E+00    
 te_(range_normalised)___________________________________________________ (nitvar004)___________________      9.1816E-02    
 beta____________________________________________________________________ (itvar005)____________________      1.1503E-01    
