 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "3.0.2   R"
 Date_of_run_____________________________________________________________ (date)________________________     "08/03/2024"
 Time_of_run_____________________________________________________________ (time)________________________     "16:33"
 User____________________________________________________________________ (username)____________________     "jg6173"  
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "paiv-step, hts, spr-045-14                                                                         
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     "v3.0.2-40-gb972ae0"                                                                                
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "main"                                                                                              
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Numba-ify physics functions"                                                                       
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/jg6173/easyVVUQ-process/cost/cm3/sol_IN.DAT                                                                                                                                                                                                                                                                                                                                                               "
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________             -2    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 # Final UNFEASIBLE Point #
 # Numerics #
 Normalised_objective_function___________________________________________ (norm_objf)___________________      7.2000E-01    
 Beta_consistency__________________normalised_residue____________________ (eq_con001)___________________      7.3690E-03    
 Global_power_balance_consistency__normalised_residue____________________ (eq_con002)___________________     -1.7580E-02    
 Fusion_power_upper_limit__________normalised_residue____________________ (eq_con009)___________________     -2.0916E-02    
 Density_upper_limit_______________normalised_residue____________________ (eq_con005)___________________      1.9420E-06    
 Beta_upper_limit__________________normalised_residue____________________ (eq_con024)___________________      3.0083E-05    
 L-H_power_threshold_limit_________normalised_residue____________________ (eq_con015)___________________      2.5868E-01    
 taup/taueff_______________________normalised_residue____________________ (eq_con062)___________________      5.0551E-02    
 ne0_>_neped_______________________normalised_residue____________________ (eq_con081)___________________      2.9465E-05    
 Radiation_fraction_upper_limit____normalised_residue____________________ (eq_con017)___________________      2.1333E-01    
 Zeff_limit________________________normalised_residue____________________ (eq_con064)___________________      1.7367E-01    
 Psep_/_R_upper_limit______________normalised_residue____________________ (eq_con056)___________________     -2.6666E-01    
 I_op_/_I_critical_(TF_coil)_______normalised_residue____________________ (eq_con033)___________________     -2.9827E-05    
 TF_coil_case_stress_upper_limit___normalised_residue____________________ (eq_con031)___________________     -1.4682E-05    
 TF_coil_conduit_stress_upper_lim__normalised_residue____________________ (eq_con032)___________________     -1.8283E-05    
 Radial_build_consistency__________normalised_residue____________________ (eq_con011)___________________     -3.3292E-06    
 Upper_Lim._on_Radiation_Wall_load_normalised_residue____________________ (eq_con067)___________________      2.2888E-01    
 Injection_power_upper_limit_______normalised_residue____________________ (eq_con030)___________________      9.3216E-02    
 Ip/Irod_upper_limit_______________normalised_residue____________________ (eq_con046)___________________     -9.6557E-06    
 # STEP Costing Model (2017 US$) #
 # 2 SPP Partners #
 # 2.2 Engineering Partner #
 Heating_and_Current_Drive_(M$)__________________________________________ (step_2_2_3_4)________________      2.8042E+03    
 Total_Account_2.2.3_Cost_(M$)___________________________________________ (step_2_2_3)__________________      2.8042E+03    
 Limiters_(M$)___________________________________________________________ (step_2_2_4_1)________________      0.0000E+00    
 Divertor_(M$)___________________________________________________________ (step_2_2_4_2_4)______________      7.6622E+02    
 First_Wall_IB+OB_and_IB_Shielding_Systems_(M$)__________________________ (step_2_2_4_3_4)______________      8.5939E+02    
 Blanket_and_OB_Shield_(M$)______________________________________________ (step_2_2_4_4_4)______________      2.3660E+03    
 Vacuum_Vessel_(M$)______________________________________________________ (step_2_2_4_5_4)______________      3.1707E+01    
 Total_Account_2.2.4_Cost_(M$)___________________________________________ (step_2_2_4)__________________      4.0233E+03    
 TF_Coils_(M$)___________________________________________________________ (step_2_2_5_1_4)______________      4.9549E+02    
 PF_Coils_(M$)___________________________________________________________ (step_2_2_5_2_4)______________      1.3797E+03    
 Central_Solenoid_(M$)___________________________________________________ (step_2_2_5_3_4)______________      4.2352E+01    
 Control_Coils_(M$)______________________________________________________ (step_2_2_5_4_4)______________      2.3358E+01    
 Total_Account_2.2.5_Cost_(M$)___________________________________________ (step_2_2_5)__________________      1.9409E+03    
 Cryostat_(including_vacuum_pumping)_(M$)________________________________ (step_2_2_6_1_4)______________      0.0000E+00    
 Primary_Support_Structure_(M$)__________________________________________ (step_2_2_6_2_4)______________      3.0809E+02    
 Total_Account_2.2.6_Cost_(M$)___________________________________________ (step_2_2_6)__________________      3.0809E+02    
 Primary_Coolant_Loop_(M$)_______________________________________________ (step_2_2_7_1)________________      8.1165E+01    
 Intermediate_Coolant_Loop_(M$)__________________________________________ (step_2_2_7_2)________________      0.0000E+00    
 Secondary_Coolant_Loop_(M$)_____________________________________________ (step_2_2_7_3)________________      4.8876E+02    
 Total_Account_2.2.7_Cost_(M$)___________________________________________ (step_2_2_7)__________________      5.6993E+02    
 Heat_Rejection_Systems_(M$)_____________________________________________ (step_2_2_8)__________________      9.3046E+01    
 Total_Account_2.2.8_Cost_(M$)___________________________________________ (step_2_2_8)__________________      9.3046E+01    
 Power_Supplies_(M$)_____________________________________________________ (step_2_2_9_1_4)______________      3.4513E+02    
 Total_Account_2.2.9.1_Cost_(M$)_________________________________________ (step_2_2_9_1)________________      3.4513E+02    
 Switchgear_(M$)_________________________________________________________ (step_2_2_9_2_1)______________      1.6636E+01    
 Station_Services_Equipment_(M$)_________________________________________ (step_2_2_9_2_2)______________      4.5240E+01    
 Switchboards_(M$)_______________________________________________________ (step_2_2_9_2_3)______________      2.6267E+00    
 Protective_Equipment_(M$)_______________________________________________ (step_2_2_9_2_4)______________      3.3357E+00    
 Electrical_Structures_&_Wiring_Containers_(M$)__________________________ (step_2_2_9_2_5)______________      2.9306E+01    
 Power_and_Control_Wiring_(M$)___________________________________________ (step_2_2_9_2_6)______________      2.5509E+01    
 Electrical_Lighting_(M$)________________________________________________ (step_2_2_9_2_7)______________      1.6206E+01    
 Total_Account_2.2.9.2_Cost_(M$)_________________________________________ (step_2_2_9_2)________________      1.4030E+02    
 Total_Account_2.2.9_Cost_(M$)___________________________________________ (step_2_2_9)__________________      4.8544E+02    
 Cryogenic_Coolant_System_(M$)___________________________________________ (step_2_2_10)_________________      1.0891E+02    
 Total_Account_2.2.10_Cost_(M$)__________________________________________ (step_2_2_10)_________________      1.0891E+02    
 Fuel_Recirculation_(M$)_________________________________________________ (step_2_2_11)_________________      0.0000E+00    
 Tritium_Recovery_(M$)___________________________________________________ (step_2_2_12)_________________      0.0000E+00    
 Fuel_Import_and_Storage_(M$)____________________________________________ (step_2_2_13)_________________      2.1718E+02    
 Control_and_Diagnostic_System_(M$)______________________________________ (step_2_2_14)_________________      1.3171E+02    
 Total_Account_2.2.14_Cost_(M$)__________________________________________ (step_2_2_14)_________________      1.3171E+02    
 Liquid_Waste_Processing_and_Equipment_(M$)______________________________ (step_2_2_15_1_1)_____________      9.5617E+00    
 Gaseous_Waste_&_Off-Gas_Processing_System_(M$)__________________________ (step_2_2_15_1_2)_____________      1.0129E+01    
 Solid_Waste_Processing_Equipment_(M$)___________________________________ (step_2_2_15_1_3)_____________      7.3147E+00    
 Total_Account_2.2.15.1_Cost_(M$)________________________________________ (step_2_2_15_1)_______________      2.7005E+01    
 Maintenance_Systems_(M$)________________________________________________ (step_2_2_15_2)_______________      1.1513E+03    
 Total_Account_2.2.15_Cost_(M$)__________________________________________ (step_2_2_15)_________________      1.1783E+03    
 Transportation_and_Lifting_Equipment_(M$)_______________________________ (step_2_2_18_1)_______________      2.0532E+01    
 Air_and_Water_Services_Equipment_(M$)___________________________________ (step_2_2_18_2)_______________      1.0620E+02    
 Communications_Equipment_(M$)___________________________________________ (step_2_2_18_3)_______________      1.3675E+01    
 Furnishings_and_Fixtures_(M$)___________________________________________ (step_2_2_18_4)_______________      2.6399E+00    
 Total_Account_2.2.18_Cost_(M$)__________________________________________ (step_2_2_18)_________________      1.4489E+02    
 Maintenance_Equipment_(M$)______________________________________________ (step_2_2_19_1)_______________      0.0000E+00    
 Special_Heating_System_(M$)_____________________________________________ (step_2_2_19_2)_______________      0.0000E+00    
 Coolant_Receiving,_Storage,_and_Make-Up_System_(M$)_____________________ (step_2_2_19_3)_______________      1.3482E+00    
 Gas_System_(M$)_________________________________________________________ (step_2_2_19_4)_______________      5.2111E-02    
 Inert_Atmosphere_System_(M$)____________________________________________ (step_2_2_19_5)_______________      0.0000E+00    
 Fluid_Leak_Detection_(M$)_______________________________________________ (step_2_2_19_6)_______________      1.1256E+01    
 Closed_Loop_Coolant_System_(M$)_________________________________________ (step_2_2_19_7)_______________      1.1083E+01    
 Standby_Coolant_System_(M$)_____________________________________________ (step_2_2_19_8)_______________      6.5266E+00    
 Total_Account_2.2.19_Cost_(M$)__________________________________________ (step_2_2_19)_________________      3.0265E+01    
 Total_Account_2.2_Cost_(M$)_____________________________________________ (step_2_2)____________________      1.2036E+04    
 # 2.3 Construction Partner #
 Land_and_Land_Rights_(M$)_______________________________________________ (step_2_3_1_1)________________      3.5089E+02    
 Site_Permits_(M$)_______________________________________________________ (step_2_3_1_2)________________      2.0000E+02    
 Plant_Licensing_(M$)____________________________________________________ (step_2_3_1_3)________________      1.0000E+02    
 Total_Account_2.3.1_Cost_(M$)___________________________________________ (step_2_3_1)__________________      6.5089E+02    
 Site_Improvements_General_(M$)__________________________________________ (step_2_3_2_1)________________      4.4870E+02    
 Diversions_(M$)_________________________________________________________ (step_2_3_2_2)________________      0.0000E+00    
 Relocation_of_Buildings_and_Services_(M$)_______________________________ (step_2_3_2_3)________________      1.6348E+02    
 Associated_Developments_(M$)____________________________________________ (step_2_3_2_4)________________      2.9888E+02    
 Waterfront_Improvements_(M$)____________________________________________ (step_2_3_2_5)________________      5.9663E+01    
 Reinstatement_&_Landscaping_(M$)________________________________________ (step_2_3_2_6)________________      2.0805E+02    
 Transport_Access_(M$)___________________________________________________ (step_2_3_2_7)________________      9.3075E+01    
 Total_Account_2.3.2_Cost_(M$)___________________________________________ (step_2_3_2)__________________      1.2718E+03    
 Reactor_Building_(M$)___________________________________________________ (step_2_3_3_1_1)______________      4.9393E+02    
 HCD_Facilities_(M$)_____________________________________________________ (step_2_3_3_1_2_1)____________      0.0000E+00    
 Cryo-Cooling_Facilities_(M$)____________________________________________ (step_2_3_3_1_2_2)____________      1.3005E+02    
 Control_Room_(M$)_______________________________________________________ (step_2_3_3_1_2_4_1)__________      3.7617E+01    
 Reactor_Services_Building_(M$)__________________________________________ (step_2_3_3_1_2_5)____________      2.4551E+01    
 Ventilation_Stack_(M$)__________________________________________________ (step_2_3_3_1_2_6)____________      5.9182E+00    
 Total_Account_2.3.3.1.2_Cost_(M$)_______________________________________ (step_2_3_3_1_2)______________      1.9813E+02    
 Total_Account_2.3.3.1_Cost_(M$)_________________________________________ (step_2_3_3_1)________________      6.9206E+02    
 Electrical_Equipment_and_Power_Supply_Building_(M$)_____________________ (step_2_3_3_2_1)______________      1.0318E+02    
 Auxiliary_Services_Building_(M$)________________________________________ (step_2_3_3_2_2)______________      4.3132E+00    
 On_Site_A/C_Power_Supply_Building_(M$)__________________________________ (step_2_3_3_2_3)______________      3.3117E+02    
 Site_Services_Building_(M$)_____________________________________________ (step_2_3_3_2_4)______________      3.3082E+01    
 Total_Account_2.3.3.2_Cost_(M$)_________________________________________ (step_2_3_3_2)________________      4.7174E+02    
 Turbine_Building_(M$)___________________________________________________ (step_2_3_3_3_1)______________      2.7658E+02    
 Cooling_System_Structures_(M$)__________________________________________ (step_2_3_3_3_2)______________      9.5171E+01    
 Service_Water_Building_(M$)_____________________________________________ (step_2_3_3_3_3)______________      5.4715E+00    
 Total_Account_2.3.3.3_Cost_(M$)_________________________________________ (step_2_3_3_3)________________      3.7722E+02    
 Fuel_Processing_and_Storage_Zone_(M$)___________________________________ (step_2_3_3_4)________________      6.1833E+01    
 Waste_Storage_and_Processing_(M$)_______________________________________ (step_2_3_3_5)________________      6.6234E+02    
 Hot_Cell_(M$)___________________________________________________________ (step_2_3_3_6_1)______________      1.7266E+02    
 Total_Account_2.3.3.6_Cost_(M$)_________________________________________ (step_2_3_3_6)________________      1.7266E+02    
 Administration_Building_(M$)____________________________________________ (step_2_3_3_7_1_1_1)__________      9.0745E+01    
 Security_Building_(M$)__________________________________________________ (step_2_3_3_7_1_4)____________      1.4896E+01    
 Total_Account_2.3.3.7.1_(M$)____________________________________________ (step_2_3_3_7_1)______________      1.0564E+02    
 Total_Account_2.3.3_Cost_(M$)___________________________________________ (step_2_3_3)__________________      2.5435E+03    
 Field_Indirect_Costs_(M$)_______________________________________________ (step_2_3_4)__________________      4.1256E+03    
 Total_Account_2.3.4_Cost_(M$)___________________________________________ (step_2_3_4)__________________      4.1256E+03    
 Construction_Management_(M$)____________________________________________ (step_2_3_5)__________________      1.6502E+03    
 Total_Account_2.3.5_Cost_(M$)___________________________________________ (step_2_3_5)__________________      1.6502E+03    
 Total_Account_2.3_Cost_(M$)_____________________________________________ (step_2_3)____________________      1.0242E+04    
 # 3 Construction Partner #
 # 3.1 Capitalised Owners Costs #
 Capitalised_Owners_Costs_(M$)___________________________________________ (step_3_1)____________________      2.4754E+03    
 # Plant Direct Cost #
 Plant_Direct_Cost_(M$)__________________________________________________ (cdirt)_______________________      1.6502E+04    
 # Constructed Cost #
 Engineering_Partner_(M$)________________________________________________ (step_2_2)____________________      1.2036E+04    
 Construction_Partner_(M$)_______________________________________________ (step_2_3)____________________      1.0242E+04    
 Constructed_Cost_(M$)___________________________________________________ (concost)_____________________      2.2278E+04    
 # Plant Availability #
 Allowable_blanket_neutron_fluence_(MW-yr/m2)____________________________ (abktflnc)____________________      9.0000E+00    
 Allowable_divertor_heat_fluence_(MW-yr/m2)______________________________ (adivflnc)____________________      1.9000E+00    
 First_wall_/_blanket_lifetime_(years)___________________________________ (bktlife)_____________________      5.1756E+00 OP 
 Divertor_lifetime_(years)_______________________________________________ (divlife)_____________________      4.0415E-02 OP 
 Centrepost_lifetime_(years)_____________________________________________ (cplife)______________________      6.5488E-01 OP 
 Heating/CD_system_lifetime_(years)______________________________________ (cdrlife)_____________________      5.1756E+00 OP 
 Total_plant_lifetime_(years)____________________________________________ (tlife)_______________________      3.0000E+01    
 Total_plant_availability_fraction_______________________________________ (cfactr)______________________      7.5000E-01    
 Number_of_fusion_cycles_to_reach_allowable_fw/blanket_DPA_______________ (bktcycles)___________________      9.8144E+04    
 # Plasma #
 Tokamak_aspect_ratio_=_Spherical,_itart_=_1_____________________________ (itart)_______________________      1.0000E+00    
 Major_radius_(m)________________________________________________________ (rmajor)______________________      3.6000E+00    
 Minor_radius_(m)________________________________________________________ (rminor)______________________      2.0000E+00    
 Aspect_ratio____________________________________________________________ (aspect)______________________      1.8000E+00    
 Elongation,_X-point_(input_value_used)__________________________________ (kappa)_______________________      2.9900E+00    
 Elongation,_95%_surface_(calculated_from_kappa)_________________________ (kappa95)_____________________      2.6696E+00    
 Elongation,_area_ratio_calc.____________________________________________ (kappaa)______________________      2.6408E+00    
 Triangularity,_X-point_(input_value_used)_______________________________ (triang)______________________      5.4000E-01    
 Triangularity,_95%_surface_(calculated_from_triang)_____________________ (triang95)____________________      3.6000E-01    
